,countryCode,elevation_DEM,genus,lat,lon,species,bio1,bio3,bio4,bio7,bio12,bio15,.geo,geometry
19698,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19699,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19700,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19701,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19702,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19703,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19704,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19705,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19706,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19707,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
