geometry,cell_id,num_species,num_points,bio1_mean,bio3_mean,bio4_mean,bio7_mean,bio12_mean,bio15_mean,elevation_mean,index_right,Id,AH,NOMAH,ZH,NOMZH,SZH,NOMSZH,Area_Ha,sp_density,num_species_std,w_num_species_std,num_points_std,w_num_points_std,sp_density_std,w_sp_density_std
"POLYGON ((5062511.243719531 2374808.9760367423, 5062512.414858426 2373888.0641838866, 5063431.744904192 2373889.2412477056, 5063430.55653982 2374810.154399622, 5062511.243719531 2374808.9760367423))",183389,1,2,1.0570833206176755,79.25724792480469,3.2365684509277344,0.9199999809265136,2097.0,62.05531692504883,3065.0,33,POMCA_285,3,Orinoco,37,Arauca,3701,Río Chítaga,248904.0,1.181173059417703e-06,-0.4834711282198113,0.0,-0.13158666916196265,0.0,-0.467592459235296,0.0
"POLYGON ((5068027.140613264 2374816.3042954993, 5068028.415106933 2373895.3843637644, 5068947.753274813 2373896.664547272, 5068946.461554891 2374817.585891874, 5068027.140613264 2374816.3042954993))",183395,2,4,0.8550000190734863,76.66666412353516,2.8203804016113283,0.95,1842.0,67.15729522705078,3307.0,37,POMCA_297,3,Orinoco,39,Apure,3901,Alto Río Apure,26712.0,2.3623036702344513e-06,0.8499115468308588,0.0,-0.09554973287290185,0.0,0.8666767907280895,0.0
"POLYGON ((5011950.9437298495 2372928.9203986516, 5011951.167104155 2372008.051472395, 5012870.488843515 2372008.2829181235, 5012870.248286456 2372929.152100419, 5011950.9437298495 2372928.9203986516))",184606,1,1,0.9033333778381348,80.61224365234375,2.4152294158935548,0.9800000190734864,1117.0,59.39640045166016,3367.0,329,POMCA_113,2,Magdalena Cauca,23,Medio Magdalena,2319,Río Lebrija y otros directos al Magdalena,217596.0,1.1812412982010807e-06,-0.4834711282198113,0.1472153524371245,-0.14960513730649305,-0.12193144033605559,-0.46751537300157914,0.16360907539060393
"POLYGON ((5014708.858213784 2372929.6669936273, 5014709.133136425 2372008.797242356, 5015628.4557278445 2372009.0801209137, 5015628.163622371 2372929.9501851224, 5014708.858213784 2372929.6669936273))",184609,1,1,0.5870833396911621,80.64814758300781,2.368911361694336,0.9,1020.0,52.76885223388672,3622.0,329,POMCA_113,2,Magdalena Cauca,23,Medio Magdalena,2319,Río Lebrija y otros directos al Magdalena,217596.0,1.181239071637221e-06,-0.4834711282198113,0.026195682195741875,-0.14960513730649305,-0.12444253967915263,-0.46751788824897333,0.042493362397343845
"POLYGON ((5013789.81084796 2372008.531508102, 5013790.068297911 2371087.662392717, 5014709.407749855 2371087.9278329774, 5014709.133136425 2372008.797242356, 5013789.81084796 2372008.531508102))",185253,1,2,0.5462500095367432,81.91287994384766,2.40383243560791,0.8800000190734864,1029.0,58.9734992980957,4013.0,329,POMCA_113,2,Magdalena Cauca,23,Medio Magdalena,2319,Río Lebrija y otros directos al Magdalena,217596.0,1.1812182364801e-06,-0.4834711282198113,0.08184929929740359,-0.13158666916196265,-0.1280556139003774,-0.4675414247733932,0.09815720925876362
"POLYGON ((5015628.747504783 2371088.2103985744, 5015629.038953178 2370167.341017725, 5016548.39617424 2370167.640376734, 5016548.087581633 2371088.5100895376, 5015628.747504783 2371088.2103985744))",185901,1,1,0.5579166412353516,80.83333587646484,2.416404914855957,0.9,1029.0,55.34696578979492,3803.0,329,POMCA_113,2,Magdalena Cauca,23,Medio Magdalena,2319,Río Lebrija y otros directos al Magdalena,217596.0,1.181195001928994e-06,-0.4834711282198113,0.24771296201121956,-0.14960513730649305,-0.11866871818528656,-0.46756767178349834,0.2641231605502518
"POLYGON ((5016548.087581633 2371088.5100895376, 5016548.39617424 2370167.640376734, 5017467.753736192 2370167.9568421724, 5017467.427999341 2371088.826905898, 5016548.087581633 2371088.5100895376))",185902,1,1,0.6316666603088379,79.43262481689453,2.396335983276367,0.9399999618530274,1074.0,53.377662658691406,3806.0,329,POMCA_113,2,Magdalena Cauca,23,Medio Magdalena,2319,Río Lebrija y otros directos al Magdalena,217596.0,1.1811941112688291e-06,-0.4834711282198113,0.10276878601518549,-0.14960513730649305,-0.12335911676326024,-0.46756867792156576,0.11907687579986885
"POLYGON ((5014709.682054068 2370167.0587651124, 5014709.9560490595 2369246.190038383, 5015629.330073024 2369246.4719779873, 5015629.038953178 2370167.341017725, 5014709.682054068 2370167.0587651124))",186547,3,6,0.590833330154419,80.58607482910156,2.4939319610595705,0.9100000381469725,1033.0,55.57329177856445,3791.0,329,POMCA_113,2,Magdalena Cauca,23,Medio Magdalena,2319,Río Lebrija y otros directos al Magdalena,217596.0,3.543522799718916e-06,2.1832942218815288,-0.15103725535872992,-0.05951279658384105,-0.13121701043304673,2.201046036183337,-0.13491336213130564
"POLYGON ((5015629.038953178 2370167.341017725, 5015629.330073024 2369246.4719779873, 5016548.704418972 2369246.7710050177, 5016548.39617424 2370167.640376734, 5015629.038953178 2370167.341017725))",186548,2,4,0.6958333492279053,80.67375946044922,2.429303359985352,0.940000057220459,1104.0,58.49196243286133,3601.5,329,POMCA_113,2,Magdalena Cauca,23,Medio Magdalena,2319,Río Lebrija y otros directos al Magdalena,217596.0,2.3623468507522865e-06,0.8499115468308588,0.10803495978824672,-0.09554973287290185,-0.12521599087605265,0.8667255697848826,0.12434049677840883
"POLYGON ((5019306.469958523 2370168.641092467, 5019306.829578113 2369247.770610992, 5020226.205401393 2369248.1379880607, 5020225.828656777 2370169.008877397, 5019306.469958523 2370168.641092467))",186552,1,2,0.8366666793823242,79.70296478271484,2.2394536972045898,1.0100000381469727,1092.0,53.9033203125,3308.0,157,POMCA_048,1,Caribe,16,Catatumbo,1602,Río Zulia,342789.0,1.1811695657791653e-06,-0.4834711282198113,0.07626855767675532,-0.13158666916196265,-0.12296018286355923,-0.4675964058390236,0.09253540127290323
